Senator1,Senator2,weight
20713,41300,613
20713,41301,627
20713,41302,131
20713,41304,95
20713,41305,622
20713,41308,604
20713,41500,118
20713,41502,135
20713,41504,231
20713,41505,238
20713,41700,626
20713,41702,622
20713,41703,166
20713,41706,623
20713,41707,141
20713,41900,79
20713,41901,77
20713,41902,216
20713,41903,74
20713,41905,603
20713,42100,96
20713,42101,612
20713,42102,70
20713,42103,620
20713,42104,606
20713,42105,617
20713,42300,103
20713,42301,493
20713,42302,135
20713,42303,72
20713,42304,85
20713,42305,378
20713,42306,70
20713,49300,123
20713,49308,628
20713,49703,434
20713,90915,66
20713,91300,534
20735,20750,610
20735,20919,192
20735,20923,634
20735,20930,629
20735,20932,627
20735,20953,121
20735,21133,235
20735,21166,150
20735,21173,63
20735,21301,137
20735,21325,634
20735,21338,121
20735,21350,160
20735,21355,143
20735,21708,133
20735,21734,100
20735,21743,627
20735,29142,640
20735,29147,524
20735,29345,139
20735,29373,474
20735,29389,613
20735,29534,181
20735,29566,330
20735,29722,191
20735,29732,623
20735,29754,159
20735,29940,621
20735,39310,628
20735,40300,411
20735,40305,187
20735,40700,628
20735,40702,586
20735,40703,621
20735,40704,626
20735,40707,112
20735,40902,126
20735,40906,610
20735,40908,594
20735,40909,620
20735,40910,631
20735,40915,396
20735,40916,604
20735,41101,638
20735,41102,126
20735,41104,80
20735,41107,138
20735,41110,73
20735,41111,98
20735,41112,629
20735,41300,617
20735,41301,603
20735,41302,144
20735,41304,102
20735,41305,622
20735,41308,600
20735,41500,126
20735,41502,148
20735,41504,243
20735,41505,250
20735,41700,632
20735,41702,632
20735,41703,165
20735,41706,625
20735,41707,154
20735,41900,77
20735,41901,75
20735,41902,224
20735,41903,77
20735,41905,611
20735,42100,102
20735,42101,624
20735,42102,74
20735,42103,626
20735,42104,604
20735,42105,612
20735,42300,116
20735,42301,500
20735,42302,148
20735,42303,76
20735,42304,88
20735,42305,382
20735,42306,71
20735,49300,126
20735,49308,626
20735,49703,446
20735,90915,70
20735,91300,547
20750,20919,166
20750,20923,611
20750,20930,616
20750,20932,618
20750,20953,113
20750,21133,206
20750,21166,126
20750,21173,56
20750,21301,110
20750,21325,613
20750,21338,112
20750,21350,153
20750,21355,118
20750,21708,110
20750,21734,91
20750,21743,600
20750,29142,619
20750,29147,549
20750,29345,110
20750,29373,467
20750,29389,601
20750,29534,154
20750,29566,302
20750,29722,165
20750,29732,602
20750,29754,133
20750,29940,615
20750,39310,615
20750,40300,389
20750,40305,160
20750,40700,605
20750,40702,569
20750,40703,597
20750,40704,605
20750,40707,102
20750,40902,101
20750,40906,593
20750,40908,611
20750,40909,595
20750,40910,608
20750,40915,381
20750,40916,590
20750,41101,619
20750,41102,102
20750,41104,90
20750,41107,123
20750,41110,76
20750,41111,88
20750,41112,611
20750,41300,603
20750,41301,622
20750,41302,122
20750,41304,86
20750,41305,611
20750,41308,595
20750,41500,109
20750,41502,124
20750,41504,215
20750,41505,223
20750,41700,610
20750,41702,609
20750,41703,148
20750,41706,608
20750,41707,131
20750,41900,83
20750,41901,73
20750,41902,204
20750,41903,67
20750,41905,588
20750,42100,94
20750,42101,601
20750,42102,67
20750,42103,605
20750,42104,590
20750,42105,601
20750,42300,93
20750,42301,488
20750,42302,124
20750,42303,66
20750,42304,86
20750,42305,366
20750,42306,71
20750,49300,117
20750,49308,613
20750,49703,419
20750,90915,67
20750,91300,519
20919,20923,196
20919,20930,184
20919,20932,187
20919,20953,513
20919,21133,535
20919,21166,528
20919,21173,412
20919,21301,509
20919,21325,187
20919,21338,527
20919,21350,499
20919,21355,514
20919,21708,526
20919,21734,497
20919,21743,198
20919,29142,189
20919,29147,137
20919,29345,489
20919,29373,155
20919,29389,194
20919,29534,533
20919,29566,386
20919,29722,527
20919,29732,193
20919,29754,535
20919,29940,184
20919,39310,182
20919,40300,357
20919,40305,538
20919,40700,192
20919,40702,210
20919,40703,194
20919,40704,184
20919,40707,475
20919,40902,498
20919,40906,183
20919,40908,164
20919,40909,191
20919,40910,192
20919,40915,227
20919,40916,176
20919,41101,185
20919,41102,493
20919,41104,453
20919,41107,509
20919,41110,454
20919,41111,501
20919,41112,188
20919,41300,196
20919,41301,166
20919,41302,529
20919,41304,472
20919,41305,186
20919,41308,173
20919,41500,493
20919,41502,528
20919,41504,445
20919,41505,491
20919,41700,186
20919,41702,193
20919,41703,483
20919,41706,187
20919,41707,533
20919,41900,454
20919,41901,466
20919,41902,497
20919,41903,455
20919,41905,187
20919,42100,480
20919,42101,199
20919,42102,467
20919,42103,192
20919,42104,185
20919,42105,177
20919,42300,509
20919,42301,177
20919,42302,500
20919,42303,478
20919,42304,445
20919,42305,107
20919,42306,8
20919,49300,40
20919,49308,183
20919,49703,366
20919,90915,40
20919,91300,218
20923,20930,628
20923,20932,630
20923,20953,124
20923,21133,242
20923,21166,155
20923,21173,67
20923,21301,140
20923,21325,633
20923,21338,128
20923,21350,166
20923,21355,147
20923,21708,138
20923,21734,104
20923,21743,630
20923,29142,641
20923,29147,517
20923,29345,144
20923,29373,476
20923,29389,622
20923,29534,188
20923,29566,335
20923,29722,200
20923,29732,632
20923,29754,166
20923,29940,626
20923,39310,627
20923,40300,417
20923,40305,194
20923,40700,631
20923,40702,593
20923,40703,629
20923,40704,626
20923,40707,120
20923,40902,131
20923,40906,614
20923,40908,591
20923,40909,621
20923,40910,636
20923,40915,407
20923,40916,606
20923,41101,637
20923,41102,131
20923,41104,77
20923,41107,144
20923,41110,76
20923,41111,104
20923,41112,628
20923,41300,624
20923,41301,606
20923,41302,151
20923,41304,106
20923,41305,623
20923,41308,597
20923,41500,130
20923,41502,156
20923,41504,248
20923,41505,256
20923,41700,633
20923,41702,639
20923,41703,172
20923,41706,622
20923,41707,160
20923,41900,82
20923,41901,79
20923,41902,237
20923,41903,82
20923,41905,614
20923,42100,105
20923,42101,631
20923,42102,73
20923,42103,629
20923,42104,607
20923,42105,611
20923,42300,121
20923,42301,508
20923,42302,155
20923,42303,80
20923,42304,89
20923,42305,376
20923,42306,72
20923,49300,123
20923,49308,627
20923,49703,456
20923,90915,71
20923,91300,552
20930,20932,637
20930,20953,116
20930,21133,231
20930,21166,141
20930,21173,58
20930,21301,128
20930,21325,630
20930,21338,122
20930,21350,156
20930,21355,136
20930,21708,124
20930,21734,97
20930,21743,623
20930,29142,634
20930,29147,529
20930,29345,133
20930,29373,477
20930,29389,615
20930,29534,173
20930,29566,323
20930,29722,183
20930,29732,617
20930,29754,151
20930,29940,627
20930,39310,630
20930,40300,408
20930,40305,179
20930,40700,624
20930,40702,586
20930,40703,617
20930,40704,623
20930,40707,111
20930,40902,121
20930,40906,613
20930,40908,602
20930,40909,616
20930,40910,631
20930,40915,397
20930,40916,604
20930,41101,632
20930,41102,120
20930,41104,82
20930,41107,133
20930,41110,73
20930,41111,98
20930,41112,632
20930,41300,619
20930,41301,612
20930,41302,136
20930,41304,98
20930,41305,628
20930,41308,596
20930,41500,123
20930,41502,140
20930,41504,236
20930,41505,243
20930,41700,631
20930,41702,628
